 ,name,recent_reviews_in_percent,all_reviews_in_percent,original_price
1,DOOM,89,92,19.99
2,PLAYERUNKNOWN'S BATTLEGROUNDS,49,49,29.99
3,BATTLETECH,54,71,39.99
4,DayZ,57,61,44.99
5,EVE Online,54,74,0
6,Devil May Cry 5,87,92,59.99
7,Human: Fall Flat,91,91,14.99
8,They Are Billions,83,85,29.99
9,For The King,80,83,19.99
10,Danganronpa V3: Killing Harmony,82,84,39.99
11,TERA,63,78,0
12,Call of Duty: Modern Warfare Remastered,51,51,1.02
13,Clone Drone in the Danger Zone,94,94,14.99
14,GOD EATER 3,71,77,59.99
15,War Robots,49,44,0
16,Halo Wars: Definitive Edition,82,88,19.99
17,Call of Duty: Black Ops,62,84,1.02
18,Phoenix Wright: Ace Attorney Trilogy,95,97,29.99
19,Titan Quest Anniversary Edition,65,90,19.99
20,Grand Theft Auto IV,66,63,19.99
21,Portal,98,97,0
22,Viscera Cleanup Detail,91,92,0
23,Neverwinter Nights: Enhanced Edition,68,74,57.91
24,Ni no Kuni II: Revenant Kingdom,76,81,59.99
25,Tree of Savior (English Ver.),46,60,0
26,Hellblade: Senua's Sacrifice,91,91,29.99
27,Danganronpa 2: Goodbye Despair,92,96,19.99
28,Yakuza 0,93,87,19.99
29,The Escapists 2,77,81,0
30,"Star Wars: Battlefront 2 (Classic, 2005)",91,91,9.99
31,Wizard101,62,68,0
32,Life is Strange 2,72,86,7.99
33,Kingdoms of Amalur: Reckoning,88,87,19.99
34,"Warhammer 40,000: Dawn of War II: Retribution",64,40,29.99
35,Counter-Strike: Source,94,95,9.99
36,The Evil Within,76,80,19.99
37,Bright Memory(Early Access),93,93,6.99
38,STAR WARS Empire at War - Gold Pack,97,94,19.99
39,Dishonored: Death of the Outsider,92,82,29.99
40,Street Fighter V,50,52,19.99
41,Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,82,80,19.99
42,Battlefleet Gothic: Armada 2,60,72,39.99
43,RUNNING WITH RIFLES,72,87,14.99
44,The Witcher: Enhanced Edition Director's Cut,82,85,9.99
45,"Middle-earth, Shadow of Wara",77,77,0
46,Forts,71,79,14.99
47,The Lord of the Rings Online,64,80,0
48,Pillars of Eternity,85,84,59.98
49,Graveyard Keeper,77,75,19.99
