id,tags
1,FPS
2,Gore
3,Demons
4,Shooter
5,First-Person
6,Great Soundtrack
7,Sci-fi
8,Horror
9,Classic
10,Dificult
11,Blood
12,Co-op
13,Memes
14,Survival
15,Survival
16,Battle Royale
17,PvP
18,Third-Person Shooter
19,Tactical
20,Early Access
21,Strategy
22,Competitive
23,Simulation
24,Stealth
25,Mech
26,Turn-Based
27,Robots
28,RPG
29,Character Customization
30,Management
31,Adventure
32,Space
33,Zombies
34,Open World
35,Post
36,Indie
37,Military
38,MMORPG
39,Free to Play
40,Economy
41,PvE
42,Hack and Slash
43,Violent
44,Controller
45,Anime
46,Funny
47,Puzzle
48,Physics
49,Comedy
50,Parkour
51,Casual
52,Split Screen
53,RTS
54,City Builder
55,Tower Defense
56,Building
57,Real-Time with Pause
58,Board Game
59,Visual Novel
60,Detective
61,Dark
62,Dating Sim
63,Cute
64,War
65,Remake
66,Pixel Graphics
67,Fighting
68,Hunting
69,Aliens
70,Crime
71,Mythology
72,Modabble
73,Pyscological
74,Mature
75,Drama
76,Crafting
77,Magic
78,Card Game
79,Fantasy
80,e-sport
